"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","970","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 09:29:26 UTC 2026","passed","Wed Mar 25 09:29:27 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1654","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 09:29:40 UTC 2026","passed","Wed Mar 25 09:29:42 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1635","Overview page shows ordered item","","Wed Mar 25 09:29:38 UTC 2026","passed","Wed Mar 25 09:29:40 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1118","Adding multiple products updates cart badge count","","Wed Mar 25 09:29:10 UTC 2026","passed","Wed Mar 25 09:29:11 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1201","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 09:29:30 UTC 2026","passed","Wed Mar 25 09:29:31 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1018","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 09:29:25 UTC 2026","passed","Wed Mar 25 09:29:26 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1097","Cart contains the added product","","Wed Mar 25 09:29:34 UTC 2026","passed","Wed Mar 25 09:29:35 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","1044","Adding a product updates the cart badge","","Wed Mar 25 09:29:11 UTC 2026","passed","Wed Mar 25 09:29:12 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","10464","Inventory page displays correct title","","Wed Mar 25 09:29:00 UTC 2026","passed","Wed Mar 25 09:29:10 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1633","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 09:29:43 UTC 2026","passed","Wed Mar 25 09:29:45 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1082","Cart page displays correct title","","Wed Mar 25 09:29:33 UTC 2026","passed","Wed Mar 25 09:29:34 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","936","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 09:29:28 UTC 2026","passed","Wed Mar 25 09:29:29 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","948","Inventory page displays all products","","Wed Mar 25 09:29:12 UTC 2026","passed","Wed Mar 25 09:29:13 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1890","Finishing order navigates to confirmation page","","Wed Mar 25 09:29:35 UTC 2026","passed","Wed Mar 25 09:29:37 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","12129","User can log out from inventory page","","Wed Mar 25 09:29:13 UTC 2026","passed","Wed Mar 25 09:29:25 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","1655","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 09:29:42 UTC 2026","passed","Wed Mar 25 09:29:43 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","940","Standard user can log in successfully","","Wed Mar 25 09:29:29 UTC 2026","passed","Wed Mar 25 09:29:30 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","1637","Valid info navigates to checkout overview page","","Wed Mar 25 09:29:37 UTC 2026","passed","Wed Mar 25 09:29:38 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","953","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 09:29:27 UTC 2026","passed","Wed Mar 25 09:29:28 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1230","Checkout info page displays correct title","","Wed Mar 25 09:29:45 UTC 2026","passed","Wed Mar 25 09:29:46 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1124","Removing a product empties the cart","","Wed Mar 25 09:29:31 UTC 2026","passed","Wed Mar 25 09:29:33 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
