"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","931","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 09:56:35 UTC 2026","passed","Wed Mar 25 09:56:36 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1080","Cart page displays correct title","","Wed Mar 25 09:56:40 UTC 2026","passed","Wed Mar 25 09:56:41 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","1491","Overview page shows ordered item","","Wed Mar 25 09:56:45 UTC 2026","passed","Wed Mar 25 09:56:47 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","12145","User can log out from inventory page","","Wed Mar 25 09:56:21 UTC 2026","passed","Wed Mar 25 09:56:33 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","1024","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 09:56:33 UTC 2026","passed","Wed Mar 25 09:56:34 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","958","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 09:56:34 UTC 2026","passed","Wed Mar 25 09:56:35 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1134","Adding multiple products updates cart badge count","","Wed Mar 25 09:56:18 UTC 2026","passed","Wed Mar 25 09:56:19 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1502","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 09:56:47 UTC 2026","passed","Wed Mar 25 09:56:48 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","924","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 09:56:36 UTC 2026","passed","Wed Mar 25 09:56:37 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1476","Valid info navigates to checkout overview page","","Wed Mar 25 09:56:44 UTC 2026","passed","Wed Mar 25 09:56:45 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1499","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 09:56:48 UTC 2026","passed","Wed Mar 25 09:56:50 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","12785","Inventory page displays correct title","","Wed Mar 25 09:56:05 UTC 2026","passed","Wed Mar 25 09:56:18 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1049","Adding a product updates the cart badge","","Wed Mar 25 09:56:19 UTC 2026","passed","Wed Mar 25 09:56:20 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1050","Cart contains the added product","","Wed Mar 25 09:56:41 UTC 2026","passed","Wed Mar 25 09:56:42 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","934","Inventory page displays all products","","Wed Mar 25 09:56:20 UTC 2026","passed","Wed Mar 25 09:56:21 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1135","Checkout info page displays correct title","","Wed Mar 25 09:56:51 UTC 2026","passed","Wed Mar 25 09:56:53 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1163","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 09:56:38 UTC 2026","passed","Wed Mar 25 09:56:39 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1725","Finishing order navigates to confirmation page","","Wed Mar 25 09:56:42 UTC 2026","passed","Wed Mar 25 09:56:44 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","1116","Removing a product empties the cart","","Wed Mar 25 09:56:39 UTC 2026","passed","Wed Mar 25 09:56:40 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","1504","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 09:56:50 UTC 2026","passed","Wed Mar 25 09:56:51 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","947","Standard user can log in successfully","","Wed Mar 25 09:56:37 UTC 2026","passed","Wed Mar 25 09:56:38 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
