"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","965","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 09:42:52 UTC 2026","passed","Wed Mar 25 09:42:53 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1135","Adding multiple products updates cart badge count","","Wed Mar 25 09:42:34 UTC 2026","passed","Wed Mar 25 09:42:35 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1741","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 09:43:04 UTC 2026","passed","Wed Mar 25 09:43:05 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1082","Cart contains the added product","","Wed Mar 25 09:42:58 UTC 2026","passed","Wed Mar 25 09:42:59 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","1230","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 09:42:54 UTC 2026","passed","Wed Mar 25 09:42:55 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1648","Overview page shows ordered item","","Wed Mar 25 09:43:02 UTC 2026","passed","Wed Mar 25 09:43:04 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1149","Removing a product empties the cart","","Wed Mar 25 09:42:55 UTC 2026","passed","Wed Mar 25 09:42:56 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","977","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 09:42:50 UTC 2026","passed","Wed Mar 25 09:42:51 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1112","Adding a product updates the cart badge","","Wed Mar 25 09:42:35 UTC 2026","passed","Wed Mar 25 09:42:36 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1095","Cart page displays correct title","","Wed Mar 25 09:42:56 UTC 2026","passed","Wed Mar 25 09:42:58 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","972","Standard user can log in successfully","","Wed Mar 25 09:42:53 UTC 2026","passed","Wed Mar 25 09:42:54 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","1739","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 09:43:05 UTC 2026","passed","Wed Mar 25 09:43:07 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1543","Valid info navigates to checkout overview page","","Wed Mar 25 09:43:00 UTC 2026","passed","Wed Mar 25 09:43:02 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1056","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 09:42:49 UTC 2026","passed","Wed Mar 25 09:42:50 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","12735","Inventory page displays correct title","","Wed Mar 25 09:42:21 UTC 2026","passed","Wed Mar 25 09:42:34 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1773","Finishing order navigates to confirmation page","","Wed Mar 25 09:42:59 UTC 2026","passed","Wed Mar 25 09:43:00 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","12185","User can log out from inventory page","","Wed Mar 25 09:42:37 UTC 2026","passed","Wed Mar 25 09:42:49 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","1683","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 09:43:07 UTC 2026","passed","Wed Mar 25 09:43:09 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1314","Checkout info page displays correct title","","Wed Mar 25 09:43:09 UTC 2026","passed","Wed Mar 25 09:43:10 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","955","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 09:42:51 UTC 2026","passed","Wed Mar 25 09:42:52 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","946","Inventory page displays all products","","Wed Mar 25 09:42:36 UTC 2026","passed","Wed Mar 25 09:42:37 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
