"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1586","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 10:04:32 UTC 2026","passed","Wed Mar 25 10:04:33 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1181","Cart page displays correct title","","Wed Mar 25 10:04:22 UTC 2026","passed","Wed Mar 25 10:04:23 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","1314","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 10:04:19 UTC 2026","passed","Wed Mar 25 10:04:20 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1533","Overview page shows ordered item","","Wed Mar 25 10:04:27 UTC 2026","passed","Wed Mar 25 10:04:29 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1594","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 10:04:30 UTC 2026","passed","Wed Mar 25 10:04:32 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1145","Adding a product updates the cart badge","","Wed Mar 25 10:03:59 UTC 2026","passed","Wed Mar 25 10:04:00 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1248","Removing a product empties the cart","","Wed Mar 25 10:04:20 UTC 2026","passed","Wed Mar 25 10:04:22 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","8213","Inventory page displays correct title","","Wed Mar 25 10:03:50 UTC 2026","passed","Wed Mar 25 10:03:58 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1090","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 10:04:14 UTC 2026","passed","Wed Mar 25 10:04:15 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1046","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 10:04:16 UTC 2026","passed","Wed Mar 25 10:04:17 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1042","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 10:04:17 UTC 2026","passed","Wed Mar 25 10:04:18 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1758","Finishing order navigates to confirmation page","","Wed Mar 25 10:04:24 UTC 2026","passed","Wed Mar 25 10:04:26 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","1052","Standard user can log in successfully","","Wed Mar 25 10:04:18 UTC 2026","passed","Wed Mar 25 10:04:19 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","1055","Inventory page displays all products","","Wed Mar 25 10:04:00 UTC 2026","passed","Wed Mar 25 10:04:01 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1239","Checkout info page displays correct title","","Wed Mar 25 10:04:34 UTC 2026","passed","Wed Mar 25 10:04:35 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","1569","Valid info navigates to checkout overview page","","Wed Mar 25 10:04:26 UTC 2026","passed","Wed Mar 25 10:04:27 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1197","Adding multiple products updates cart badge count","","Wed Mar 25 10:03:58 UTC 2026","passed","Wed Mar 25 10:03:59 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1156","Cart contains the added product","","Wed Mar 25 10:04:23 UTC 2026","passed","Wed Mar 25 10:04:24 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","1011","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 10:04:15 UTC 2026","passed","Wed Mar 25 10:04:16 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","12224","User can log out from inventory page","","Wed Mar 25 10:04:01 UTC 2026","passed","Wed Mar 25 10:04:14 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","1594","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 10:04:29 UTC 2026","passed","Wed Mar 25 10:04:30 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
