"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1212","Removing a product empties the cart","","Wed Mar 25 09:29:43 UTC 2026","passed","Wed Mar 25 09:29:44 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","1719","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 09:30:15 UTC 2026","passed","Wed Mar 25 09:30:17 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1139","Cart page displays correct title","","Wed Mar 25 09:29:44 UTC 2026","passed","Wed Mar 25 09:29:45 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","962","Standard user can log in successfully","","Wed Mar 25 09:29:50 UTC 2026","passed","Wed Mar 25 09:29:51 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","1589","Overview page shows ordered item","","Wed Mar 25 09:30:10 UTC 2026","passed","Wed Mar 25 09:30:12 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","13881","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 09:29:29 UTC 2026","passed","Wed Mar 25 09:29:43 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","12071","User can log out from inventory page","","Wed Mar 25 09:29:55 UTC 2026","passed","Wed Mar 25 09:30:07 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","1286","Checkout info page displays correct title","","Wed Mar 25 09:30:17 UTC 2026","passed","Wed Mar 25 09:30:18 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","973","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 09:29:48 UTC 2026","passed","Wed Mar 25 09:29:49 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1028","Adding a product updates the cart badge","","Wed Mar 25 09:29:53 UTC 2026","passed","Wed Mar 25 09:29:54 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1107","Adding multiple products updates cart badge count","","Wed Mar 25 09:29:52 UTC 2026","passed","Wed Mar 25 09:29:53 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1512","Valid info navigates to checkout overview page","","Wed Mar 25 09:30:09 UTC 2026","passed","Wed Mar 25 09:30:10 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1699","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 09:30:14 UTC 2026","passed","Wed Mar 25 09:30:15 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","978","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 09:29:47 UTC 2026","passed","Wed Mar 25 09:29:48 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","941","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 09:29:49 UTC 2026","passed","Wed Mar 25 09:29:50 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","925","Inventory page displays all products","","Wed Mar 25 09:29:54 UTC 2026","passed","Wed Mar 25 09:29:55 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1078","Cart contains the added product","","Wed Mar 25 09:29:45 UTC 2026","passed","Wed Mar 25 09:29:46 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","961","Inventory page displays correct title","","Wed Mar 25 09:29:51 UTC 2026","passed","Wed Mar 25 09:29:52 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1023","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 09:29:46 UTC 2026","passed","Wed Mar 25 09:29:47 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1653","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 09:30:12 UTC 2026","passed","Wed Mar 25 09:30:14 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1674","Finishing order navigates to confirmation page","","Wed Mar 25 09:30:07 UTC 2026","passed","Wed Mar 25 09:30:09 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
