"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1143","Checkout info page displays correct title","","Sun Mar 29 14:17:51 UTC 2026","passed","Sun Mar 29 14:17:52 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
"","995","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Sun Mar 29 14:17:21 UTC 2026","passed","Sun Mar 29 14:17:22 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","920","Inventory page displays all products","","Sun Mar 29 14:17:29 UTC 2026","passed","Sun Mar 29 14:17:30 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","1082","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Sun Mar 29 14:17:22 UTC 2026","passed","Sun Mar 29 14:17:23 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1021","Adding a product updates the cart badge","","Sun Mar 29 14:17:28 UTC 2026","passed","Sun Mar 29 14:17:29 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1621","Finishing order navigates to confirmation page","","Sun Mar 29 14:17:42 UTC 2026","passed","Sun Mar 29 14:17:44 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","2658","Proceeding to checkout navigates to checkout info page","","Sun Mar 29 14:17:14 UTC 2026","passed","Sun Mar 29 14:17:17 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1042","Standard user can log in successfully","","Sun Mar 29 14:17:25 UTC 2026","passed","Sun Mar 29 14:17:26 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","1503","Incomplete checkout form shows correct validation error Error: Last Name is required","","Sun Mar 29 14:17:48 UTC 2026","passed","Sun Mar 29 14:17:50 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1056","Inventory page displays correct title","","Sun Mar 29 14:17:26 UTC 2026","passed","Sun Mar 29 14:17:27 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1086","Cart contains the added product","","Sun Mar 29 14:17:20 UTC 2026","passed","Sun Mar 29 14:17:21 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","1105","Adding multiple products updates cart badge count","","Sun Mar 29 14:17:27 UTC 2026","passed","Sun Mar 29 14:17:28 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","1557","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Sun Mar 29 14:17:50 UTC 2026","passed","Sun Mar 29 14:17:51 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1193","Removing a product empties the cart","","Sun Mar 29 14:17:17 UTC 2026","passed","Sun Mar 29 14:17:18 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","1040","Invalid login attempts show correct error message Epic sadface: Username is required","","Sun Mar 29 14:17:23 UTC 2026","passed","Sun Mar 29 14:17:24 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1529","Valid info navigates to checkout overview page","","Sun Mar 29 14:17:44 UTC 2026","passed","Sun Mar 29 14:17:45 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","12067","User can log out from inventory page","","Sun Mar 29 14:17:30 UTC 2026","passed","Sun Mar 29 14:17:42 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","1441","Overview page shows ordered item","","Sun Mar 29 14:17:45 UTC 2026","passed","Sun Mar 29 14:17:47 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","947","Invalid login attempts show correct error message Epic sadface: Password is required","","Sun Mar 29 14:17:24 UTC 2026","passed","Sun Mar 29 14:17:25 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1118","Cart page displays correct title","","Sun Mar 29 14:17:18 UTC 2026","passed","Sun Mar 29 14:17:19 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","1502","Incomplete checkout form shows correct validation error Error: First Name is required","","Sun Mar 29 14:17:47 UTC 2026","passed","Sun Mar 29 14:17:48 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
