"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1204","Proceeding to checkout navigates to checkout info page","","Wed Mar 25 10:04:08 UTC 2026","passed","Wed Mar 25 10:04:10 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","proceedToCheckoutNavigatesToInfoPage"
"","1464","Overview page shows ordered item","","Wed Mar 25 10:04:16 UTC 2026","passed","Wed Mar 25 10:04:17 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","overviewPageShowsOrderedItem"
"","1702","Finishing order navigates to confirmation page","","Wed Mar 25 10:04:13 UTC 2026","passed","Wed Mar 25 10:04:14 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","finishingOrderNavigatesToConfirmation"
"","950","Standard user can log in successfully","","Wed Mar 25 10:04:07 UTC 2026","passed","Wed Mar 25 10:04:08 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","standardUserCanLogin"
"","956","Invalid login attempts show correct error message Epic sadface: Username and password do not match any user in this service","","Wed Mar 25 10:04:05 UTC 2026","passed","Wed Mar 25 10:04:05 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1157","Adding multiple products updates cart badge count","","Wed Mar 25 10:03:48 UTC 2026","passed","Wed Mar 25 10:03:49 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingMultipleProductsUpdatesBadgeCount"
"","8939","Inventory page displays correct title","","Wed Mar 25 10:03:39 UTC 2026","passed","Wed Mar 25 10:03:48 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageHasCorrectTitle"
"","1533","Incomplete checkout form shows correct validation error Error: Last Name is required","","Wed Mar 25 10:04:19 UTC 2026","passed","Wed Mar 25 10:04:20 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1054","Cart page displays correct title","","Wed Mar 25 10:04:11 UTC 2026","passed","Wed Mar 25 10:04:12 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartPageHasCorrectTitle"
"","1085","Adding a product updates the cart badge","","Wed Mar 25 10:03:49 UTC 2026","passed","Wed Mar 25 10:03:50 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","addingProductUpdatesCartBadge"
"","1128","Removing a product empties the cart","","Wed Mar 25 10:04:10 UTC 2026","passed","Wed Mar 25 10:04:11 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","removingProductEmptiesCart"
"","1526","Incomplete checkout form shows correct validation error Error: First Name is required","","Wed Mar 25 10:04:17 UTC 2026","passed","Wed Mar 25 10:04:19 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","945","Invalid login attempts show correct error message Epic sadface: Password is required","","Wed Mar 25 10:04:06 UTC 2026","passed","Wed Mar 25 10:04:07 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","944","Inventory page displays all products","","Wed Mar 25 10:03:50 UTC 2026","passed","Wed Mar 25 10:03:51 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","inventoryPageDisplaysAllProducts"
"","12131","User can log out from inventory page","","Wed Mar 25 10:03:51 UTC 2026","passed","Wed Mar 25 10:04:03 UTC 2026","","Inventory Tests","com.automation.ui.tests.InventoryTest","userCanLogout"
"","940","Invalid login attempts show correct error message Epic sadface: Username is required","","Wed Mar 25 10:04:05 UTC 2026","passed","Wed Mar 25 10:04:06 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1497","Valid info navigates to checkout overview page","","Wed Mar 25 10:04:14 UTC 2026","passed","Wed Mar 25 10:04:16 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","validInfoNavigatesToOverview"
"","1041","Cart contains the added product","","Wed Mar 25 10:04:12 UTC 2026","passed","Wed Mar 25 10:04:13 UTC 2026","","Cart Tests","com.automation.ui.tests.CartTest","cartContainsAddedProduct"
"","971","Invalid login attempts show correct error message Epic sadface: Sorry, this user has been locked out.","","Wed Mar 25 10:04:04 UTC 2026","passed","Wed Mar 25 10:04:05 UTC 2026","","Login Tests","com.automation.ui.tests.LoginTest","invalidLoginShowsError"
"","1505","Incomplete checkout form shows correct validation error Error: Postal Code is required","","Wed Mar 25 10:04:20 UTC 2026","passed","Wed Mar 25 10:04:22 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","incompleteFormShowsValidationError"
"","1148","Checkout info page displays correct title","","Wed Mar 25 10:04:22 UTC 2026","passed","Wed Mar 25 10:04:23 UTC 2026","","Checkout Tests","com.automation.ui.tests.CheckoutTest","checkoutInfoPageHasCorrectTitle"
